Roll no,Division,Tutorial,Lab,Location
220106055,II,T12,L5,5206
220106056,II,T13,L5,1G1
220106057,II,T13,L5,1G1
220106058,II,T13,L5,1G1
220106059,II,T13,L5,1G1
220106060,II,T13,L5,1G1
220106061,II,T14,L5,1G2
220106062,II,T14,L5,1G2
220106063,II,T14,L5,1G2
220106064,II,T14,L5,1G2
220106065,II,T14,L5,1G2
220106066,II,T15,L5,4210
220106067,II,T15,L5,4210
220106068,II,T15,L5,4210
220106069,II,T15,L5,4210
220106070,II,T15,L5,4210
220106071,II,T15,L5,4210
220106072,II,T15,L5,4210
220106074,II,T16,L5,4G1
220106075,II,T16,L5,4G1
220106076,II,T16,L5,4G1
220106077,II,T16,L5,4G1
220106078,II,T16,L5,4G1
220106079,II,T16,L5,4G1
220106080,II,T16,L5,4G1
220106081,II,T17,L5,4G2
220106082,II,T17,L5,4G2
220106083,II,T17,L5,4G2
220106084,II,T17,L5,4G2
220106085,II,T17,L5,4G2
220106086,II,T17,L5,4G2
220106087,II,T17,L5,4G2
220106088,II,T17,L5,4G2
220106089,II,T18,L5,L1
220106090,II,T18,L5,L1
220106091,II,T18,L5,L1
220106093,II,T18,L5,L1
220102091,II,T18,L5,L1
220102092,II,T18,L5,L1
220102093,II,T18,L5,L1
220102094,II,T18,L5,L1
220102095,II,T18,L5,L1
220102096,II,T18,L5,L1
220102097,II,T18,L5,L1
220102098,II,T19,L5,L2
220102099,II,T19,L5,L2
220102100,II,T19,L5,L2
220102101,II,T19,L5,L2
220102102,II,T19,L5,L2
220102103,II,T19,L5,L2
220101001,III,T1,L6,5G1
220101002,III,T1,L6,5G1
220101003,III,T1,L6,5G1
220101004,III,T1,L6,5G1
220101006,III,T2,L6,2101
220101007,III,T2,L6,2101
220101008,III,T2,L6,2101
220101009,III,T3,L6,2203
220101010,III,T3,L6,2203
220101011,III,T3,L6,2203
220101012,III,T3,L6,2203
220101013,III,T4,L6,2204
220101014,III,T4,L6,2204
220101015,III,T4,L6,2204
220101016,III,T4,L6,2204
220101017,III,T4,L6,2204
220101018,III,T5,L6,3102
220101019,III,T5,L6,3102
220101020,III,T5,L6,3102
220101021,III,T5,L6,3102
220101022,III,T6,L6,3202
220101023,III,T6,L6,3202
220101025,III,T6,L6,3202
220101026,III,T7,L6,4001
220101027,III,T7,L6,4001
220101028,III,T7,L6,4001
220101029,III,T7,L6,4001
220101030,III,T7,L6,4001
220101031,III,T8,L6,4005
220101032,III,T8,L6,4005
220101033,III,T8,L6,4005
220101034,III,T8,L6,4005
220101035,III,T8,L6,4005
220101036,III,T9,L6,4006
220101037,III,T9,L6,4006
220101038,III,T9,L6,4006
220101039,III,T9,L6,4006
220101040,III,T9,L6,4006
220101041,III,T10,L6,5201
220101042,III,T10,L6,5201
220101044,III,T10,L6,5201
220101045,III,T10,L6,5201
220101046,III,T11,L6,1205
220101047,III,T11,L6,1205
220101048,III,T11,L6,1205
220101049,III,T11,L6,1205
220101050,III,T11,L6,1205
220101051,III,T12,L6,5206
220101052,III,T12,L6,5206
220101053,III,T12,L6,5206
220101054,III,T12,L6,5206
220101055,III,T12,L6,5206
220101056,III,T13,L6,1G1
220101057,III,T13,L6,1G1
220101058,III,T13,L6,1G1
220101059,III,T13,L6,1G1
220101060,III,T13,L6,1G1
220101061,III,T14,L6,1G2
220101063,III,T14,L6,1G2
220101064,III,T14,L6,1G2
220101065,III,T14,L6,1G2
220101066,III,T15,L6,4210
220101067,III,T15,L6,4210
220101068,III,T15,L6,4210
220101069,III,T15,L6,4210
220101070,III,T15,L6,4210
220101071,III,T15,L6,4210
220101072,III,T16,L6,4G1
220101073,III,T16,L6,4G1
220101074,III,T16,L6,4G1
220101075,III,T16,L6,4G1
220101076,III,T16,L6,4G1
220101077,III,T16,L6,4G1
220101078,III,T16,L6,4G1
