code,name,slot,venue,prof,prof_id
ME 542,Numerical Analysis,B,,Deepak Sharma,dsharma
ME 541,Continuum Mechanics,A,,Arup Nandy,arupn
ME 522,Convective Heat Transfer,E1,,Arnab Kumar De,akd
ME 515,Manufacturing Laboratory,--,,Sajan Kapil,sajan.kapil
ME 513,Physics of Deformation Processes,B,,Ramabadran Ganesh Narayanan,ganu
ME 511,Engineering Materials and Characterization,C,,Sukhomay Pal,spal
ME 505,MTP Phase II,--,,Karuna Kalita,karuna.kalita
ME 499,Project-II,--,,Manas Das,manasdas
ME 399,BTech Project-II,--,,Manas Das,manasdas
ME 326,Mechanical Engineering Lab IV,--,,"Arnab Kumar De, Manmohan Pandey, Nelson Muthu,Shrikrishna N. Joshi, Satyajit Panda, S. Senthilvelan","akd,manmohan,nelsonm,snj,spanda,ssvelan"
ME 325,Control Systems,F1,,"Karuna Kalita, Satyajit Panda","karuna.kalita,spanda"
ME 324,Industrial Engineering and Operations Reseach.,D1,,Manas Das,manasdas
ME 323,Mechanical Measurements,C1,,"Biranchi Panda, Satish Kumar Panda","pandabiranchi,skpanda"
ME 322,Machine Design,B1,,"Poonam Kumari, Sashindra K. Kakoty","kpmech,sashin"
ME 321,Applied Thermodynamics,A1,,"Niranjan Sahoo, Tapan Krishnakumar Mankodi","shock,tapan.mankodi"
ME 302M,Fundamentals of Artificial Intelligence,G1,,Shyamanta M. Hazarika,s.m.hazarika
ME 226,Mechanical Engineering Lab II,--,,"Arup Nandy, Atul K. Soti, Gavara Madhusudhana, SukhomayPal, Sachin S. Gautam, Vinayak Kulkarni","arupn,atulsoti,gmadhu,spal,ssg,vinayak"
ME 225,Mechanical Workshop II,--,,"Ramabadran Ganesh Narayanan, Biranchi Panda","ganu,pandabiranchi"
ME 224,Kinematics of Machinery,D,,"Sandeep Reddy Basireddy, Sajan Kapil","bsandeepr,sajan.kapil"
ME 223,Solid Mechanics II,C,,"Nelson Muthu, Uday S. Dixit","nelsonm,uday"
ME 222,Manufacturing Technology I,B,,"Prasenjit Khanikar, Swarup Bag","pkhanikar,swarupbag"
ME 221,Fluid Mechanics II,A,,"Atul K. Soti, Pranab Kumar Mondal","atulsoti,pranabm"
ME 202M,Mechatronics,F,,Shrikrishna N. Joshi,snj
