code,venue,roll
CE205,5303,"240104001, 240104002, 240104003, 240104004, 240104005, 240104006, 240104007, 240104008, 240104009, 240104011, 240104012, 240104013, 240104014, 240104015, 240104016, 240104018, 240104019, 240104020, 240104021, 240104022, 240104023, 240104024, 240104025, 240104027, 240104028, 240104029, 240104031"
CE205,5304,"240104032, 240104033, 240104034, 240104035, 240104036, 240104037, 240104039, 240104040, 240104041, 240104042, 240104043, 240104044, 240104045, 240104046, 240104047, 240104048, 240104049, 240104050, 240104051, 240104052, 240104053, 240104054, 240104055, 240104056, 240104057, 240104058, 240104059"
CE205,5305,"240104060, 240104061, 240104062, 240104063, 240104064, 240104065, 240104066, 240104067, 240104068, 240104069, 240104070, 240104071, 240104072, 240104073, 240104074, 240104075, 240104076, 240104077, 240104080, 240104081, 240104082, 240104083, 240104084, 240104085, 240104086, 240104087, 240104088"
CE205,5306,"240104089, 240104090, 240104091, 240104093, 240104094, 240104096, 240104097, 240104098, 240104099, 240104101, 240104102, 240104103, 240104104, 240104106, 240104107, 240104108, 240104109, 240104110, 240104112, 240104113, 240104114, 240104115, 240104116"
CE206,L2,"240104001, 240104002, 240104003, 240104004, 240104005, 240104006, 240104007, 240104008, 240104009, 240104011, 240104012, 240104013, 240104014, 240104015, 240104016, 240104018, 240104019, 240104020, 240104021, 240104022, 240104023, 240104024, 240104025, 240104027, 240104028, 240104029, 240104031, 240104032, 240104033, 240104034, 240104035, 240104036, 240104037, 240104039, 240104040, 240104041"
CE206,L3,"240104042, 240104043, 240104044, 240104045, 240104046, 240104047, 240104048, 240104049, 240104050, 240104051, 240104052, 240104053, 240104054, 240104055, 240104056, 240104057, 240104058, 240104059, 240104060, 240104061, 240104062, 240104063, 240104064, 240104065, 240104066, 240104067, 240104068, 240104069, 240104070, 240104071, 240104072, 240104073, 240104074, 240104075, 240104076, 240104077"
CE206,L4,"240104080, 240104081, 240104082, 240104083, 240104084, 240104085, 240104086, 240104087, 240104088, 240104089, 240104090, 240104091, 240104093, 240104094, 240104096, 240104097, 240104098, 240104099, 240104101, 240104102, 240104103, 240104104, 240104106, 240104107, 240104108, 240104109, 240104110, 240104112, 240104113, 240104114, 240104115, 240104116, 230104035"
CE220,L2,"240104001, 240104002, 240104003, 240104004, 240104005, 240104006, 240104007, 240104008, 240104009, 240104011, 240104012, 240104013, 240104014, 240104015, 240104016, 240104018, 240104019, 240104020, 240104021, 240104022, 240104023, 240104024, 240104025, 240104027, 240104028, 240104029, 240104031, 240104032, 240104033, 240104034, 240104035, 240104036, 240104037, 240104039, 240104040, 240104041"
CE220,L3,"240104042, 240104043, 240104044, 240104045, 240104046, 240104047, 240104048, 240104049, 240104050, 240104051, 240104052, 240104053, 240104054, 240104055, 240104056, 240104057, 240104058, 240104059, 240104060, 240104061, 240104062, 240104063, 240104064, 240104065, 240104066, 240104067, 240104068, 240104069, 240104070, 240104071, 240104072, 240104073, 240104074, 240104075, 240104076, 240104077"
CE220,L4,"240104080, 240104081, 240104082, 240104083, 240104084, 240104085, 240104086, 240104087, 240104088, 240104089, 240104090, 240104091, 240104093, 240104094, 240104096, 240104097, 240104098, 240104099, 240104101, 240104102, 240104103, 240104104, 240104106, 240104107, 240104108, 240104109, 240104110, 240104112, 240104113, 240104114, 240104115, 240104116"
CE222,L2,"230104017, 240104001, 240104002, 240104003, 240104004, 240104005, 240104006, 240104007, 240104008, 240104009, 240104011, 240104012, 240104013, 240104014, 240104015, 240104016, 240104018, 240104019, 240104020, 240104021, 240104022, 240104023, 240104024, 240104025, 240104027, 240104028, 240104029, 240104031, 240104032, 240104033, 240104034, 240104035, 240104036, 240104037, 240104039, 240104040"
CE222,L3,"240104041, 240104042, 240104043, 240104044, 240104045, 240104046, 240104047, 240104048, 240104049, 240104050, 240104051, 240104052, 240104053, 240104054, 240104055, 240104056, 240104057, 240104058, 240104059, 240104060, 240104061, 240104062, 240104063, 240104064, 240104065, 240104066, 240104067, 240104068, 240104069, 240104070, 240104071, 240104072, 240104073, 240104074, 240104075, 240104076"
CE222,L4,"240104077, 240104080, 240104081, 240104082, 240104083, 240104084, 240104085, 240104086, 240104087, 240104088, 240104089, 240104090, 240104091, 240104093, 240104094, 240104096, 240104097, 240104098, 240104099, 240104101, 240104102, 240104103, 240104104, 240104106, 240104107, 240104108, 240104109, 240104110, 240104112, 240104113, 240104114, 240104115, 240104116"
CE308,L2,"230104017, 230104001, 230104003, 230104004, 230104005, 230104006, 230104007, 230104008, 230104009, 230104010, 230104011, 230104012, 230104013, 230104015, 230104016, 230104018, 230104019, 230104020, 230104021, 230104022, 230104023, 230104024, 230104026, 230104027, 230104028, 230104029, 230104030, 230104031, 230104032, 230104033, 230104034, 230104035, 230104036, 230104037, 230104038, 230104039, 230104040"
CE308,L3,"230104041, 230104042, 230104043, 230104044, 230104045, 230104046, 230104047, 230104048, 230104049, 230104050, 230104051, 230104052, 230104053, 230104055, 230104056, 230104057, 230104058, 230104059, 230104060, 230104061, 230104062, 230104063, 230104065, 230104066, 230104067, 230104068, 230104069, 230104070, 230104071, 230104072, 230104073, 230104075, 230104076, 230104077, 230104079, 230104080, 230104081"
CE308,L4,"230104082, 230104083, 230104085, 230104086, 230104087, 230104088, 230104089, 230104090, 230104091, 230104093, 230104094, 230104095, 230104097, 230104098, 230104099, 230104100, 230104102, 230104105, 230104106, 230104107, 230104108, 230104109, 230104110, 230104111, 230104112, 230104113, 230104114, 230104115, 230104116, 230104117, 230104118"
CE309,L2,"230104017, 230104001, 230104003, 230104004, 230104005, 230104006, 230104007, 230104008, 230104009, 230104010, 230104011, 230104012, 230104013, 230104015, 230104016, 230104018, 230104019, 230104020, 230104021, 230104022, 230104023, 230104024, 230104026, 230104027, 230104028, 230104029, 230104030, 230104031, 230104032, 230104033, 230104034, 230104035, 230104036, 230104037, 230104038, 230104039"
CE309,L3,"230104040, 230104041, 230104042, 230104043, 230104044, 230104045, 230104046, 230104047, 230104048, 230104049, 230104050, 230104051, 230104052, 230104053, 230104055, 230104056, 230104057, 230104058, 230104059, 230104060, 230104061, 230104062, 230104063, 230104065, 230104066, 230104067, 230104068, 230104069, 230104070, 230104071, 230104072, 230104073, 230104075, 230104076, 230104077, 230104079"
CE309,L4,"230104080, 230104081, 230104082, 230104083, 230104085, 230104086, 230104087, 230104088, 230104089, 230104090, 230104091, 230104093, 230104094, 230104095, 230104097, 230104098, 230104099, 230104100, 230104102, 230104105, 230104106, 230104107, 230104108, 230104109, 230104110, 230104111, 230104112, 230104113, 230104114, 230104115, 230104116, 230104117, 230104118"
CE320,L2,"230104017, 230104001, 230104003, 230104004, 230104005, 230104006, 230104007, 230104008, 230104009, 230104010, 230104011, 230104012, 230104013, 230104015, 230104016, 230104018, 230104019, 230104020, 230104021, 230104022, 230104023, 230104024, 230104026, 230104027, 230104028, 230104029, 230104030, 230104031, 230104032, 230104033, 230104034, 230104035, 230104036, 230104037, 230104038, 230104039"
CE320,L3,"230104040, 230104041, 230104042, 230104043, 230104044, 230104045, 230104046, 230104047, 230104048, 230104049, 230104050, 230104051, 230104052, 230104053, 230104055, 230104056, 230104057, 230104058, 230104059, 230104060, 230104061, 230104062, 230104063, 230104065, 230104066, 230104067, 230104068, 230104069, 230104070, 230104071, 230104072, 230104073, 230104075, 230104076, 230104077, 230104079"
CE320,L4,"230104080, 230104081, 230104082, 230104083, 230104085, 230104086, 230104087, 230104088, 230104089, 230104090, 230104091, 230104093, 230104094, 230104095, 230104097, 230104098, 230104099, 230104100, 230104102, 230104105, 230104106, 230104107, 230104108, 230104109, 230104110, 230104111, 230104112, 230104113, 230104114, 230104115, 230104116, 230104117, 230104118"
CE322,L2,"230104017, 230104001, 230104003, 230104004, 230104005, 230104006, 230104007, 230104008, 230104009, 230104010, 230104011, 230104012, 230104013, 230104015, 230104016, 230104018, 230104019, 230104020, 230104021, 230104022, 230104023, 230104024, 230104026, 230104027, 230104028, 230104029, 230104030, 230104031, 230104032, 230104033, 230104034, 230104035, 230104036, 230104037, 230104038, 230104039"
CE322,L3,"230104040, 230104041, 230104042, 230104043, 230104044, 230104045, 230104046, 230104047, 230104048, 230104049, 230104050, 230104051, 230104052, 230104053, 230104055, 230104056, 230104057, 230104058, 230104059, 230104060, 230104061, 230104062, 230104063, 230104065, 230104066, 230104067, 230104068, 230104069, 230104070, 230104071, 230104072, 230104073, 230104075, 230104076, 230104077, 230104079"
